Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment
NATGAS;1142658482;Buy Limit;0.02;16.11.2023 09:21:21;3.225;16.11.2023 11:32:15;3.233;19.4;19.40;0;[T/P]
US500;1142372761;Buy Stop;0.02;15.11.2023 20:54:17;4524.2;15.11.2023 21:49:56;4516.8;-29.96;-29.96;0;[S/L]
US500;1142310605;Sell;0.02;15.11.2023 19:41:57;4522.7;15.11.2023 20:54:12;4524.2;-6.07;-6.07;0;
OIL;1142210001;Sell Stop;0.02;15.11.2023 18:03:04;81.72;15.11.2023 19:30:12;81.52;16.17;16.17;0;[S/L]
OIL;1141726683;Buy;0.03;15.11.2023 14:26:53;82.06;15.11.2023 18:02:43;81.71;-42.5;-42.50;0;
OIL;1141615019;Sell Stop;0.03;15.11.2023 12:51:24;82.08;15.11.2023 14:00:53;82.46;-46.11;-46.11;0;[S/L]
OIL;1141545913;Sell Stop;0.03;15.11.2023 11:37:29;82.04;15.11.2023 12:05:32;82;4.85;4.85;0;[S/L]
US500;1141073994;Sell Stop;0.02;14.11.2023 20:59:48;4517.6;14.11.2023 22:32:05;4516.3;5.25;5.25;0;[S/L]
US500;1141000665;Buy;0.02;14.11.2023 19:35:28;4512.5;14.11.2023 20:52:45;4515.1;10.5;10.50;0;
OIL;1139065474;Buy Stop;0.01;13.11.2023 10:20:23;81.42;14.11.2023 18:50:28;82.78;55.09;54.16;0;[S/L]
AUDUSD;1140841521;Sell;0.04;14.11.2023 17:13:28;0.64897;14.11.2023 17:23:24;0.64875;3.57;3.57;0;
AUDUSD;1140762818;Buy;0.04;14.11.2023 16:34:16;0.64823;14.11.2023 16:55:54;0.64795;-4.55;-4.55;0;
AUDUSD;1140642348;Buy;0.03;14.11.2023 15:50:00;0.64704;14.11.2023 16:11:04;0.64766;7.55;7.55;0;
AUDUSD;1140526488;Buy Limit;0.04;14.11.2023 15:19:41;0.64629;14.11.2023 15:34:02;0.64653;3.91;3.91;0;[T/P]
AUDUSD;1140327270;Buy;0.04;14.11.2023 13:44:10;0.63713;14.11.2023 14:16:59;0.63752;6.43;6.43;0;
EURUSD;1140149645;Sell;0.03;14.11.2023 10:29:59;1.07086;14.11.2023 13:20:22;1.07252;-20.53;-20.53;0;
USDCAD;1140066585;Sell Limit;0.04;14.11.2023 09:18:22;1.38205;14.11.2023 10:10:47;1.382;0.6;0.60;0;[T/P]
EURUSD;1140025713;Sell;0.03;14.11.2023 08:43:39;1.07071;14.11.2023 09:14:35;1.07022;6.08;6.08;0;
EURCAD;1139859134;Buy Stop;0.04;13.11.2023 21:25:28;1.47683;13.11.2023 22:59:56;1.47574;-13.07;-13.07;0;[S/L]
US100;1139660115;Buy Stop;0.01;13.11.2023 17:47:29;15583.58;13.11.2023 18:07:42;15558.94;-20.37;-20.37;0;[S/L]
US100;1139644788;Sell;0.01;13.11.2023 17:38:03;15559.92;13.11.2023 17:47:26;15582.82;-18.93;-18.93;0;
US100;1139557704;Buy Limit;0.01;13.11.2023 16:49:25;15533.6;13.11.2023 17:23:37;15558.19;20.34;20.34;0;[T/P]
US100;1139533385;Sell Limit;0.01;13.11.2023 16:35:08;15531.38;13.11.2023 16:39:05;15524.86;5.4;5.40;0;[T/P]
USDCAD;1139497854;Buy Stop;0.04;13.11.2023 16:15:08;1.38134;13.11.2023 16:18:47;1.38067;-8.03;-8.03;0;[S/L]
EURUSD;1139448354;Sell Stop;0.03;13.11.2023 15:56:37;1.06745;13.11.2023 16:01:27;1.06811;-8.21;-8.21;0;[S/L]
EURUSD;1139431920;Buy Limit;0.03;13.11.2023 15:49:44;1.06698;13.11.2023 15:54:55;1.06748;6.21;6.21;0;[T/P]
EURCAD;1139364800;Buy;0.04;13.11.2023 15:19:56;1.4754;13.11.2023 15:46:38;1.47431;-13.08;-13.08;0;
EURCAD;1139360125;Sell;0.03;13.11.2023 15:16:02;1.47558;13.11.2023 15:19:36;1.4753;2.52;2.52;0;
